name,f1_score,roc_auc_score,total_actives,predicted_actives,version,f1,roc_auc,accuracy
ileal_sodium_bile_acid_cotransporter,0.9866666666666666,0.986842105263158,38,37,py27,0.972972972972973,0.9995294029064076,0.9986072423398328
cyclin_dependent_kinase_6,0.9866666666666666,0.986842105263158,38,37,py27,0.9736842105263158,0.9970164144266246,0.9986072423398328
bile_acid_receptor,0.9863013698630138,0.9995344506517692,36,37,py35,0.9444444444444444,0.999689633767846,0.9963963963963964
isocitrate_dehydrogenase_nadp_cytoplasmic,0.9863013698630138,0.9864864864864864,74,72,py27,0.9798657718120806,0.9999470681021798,0.99885801294252
microsomal_triglyceride_transfer_protein_large_subunit,0.9863013698630138,0.9995344506517692,36,37,py27,0.972972972972973,1.0,0.9981981981981982
fibroblast_growth_factor_receptor_3,0.9852941176470588,0.9855072463768116,69,67,py35,0.9640287769784172,0.9975592482990616,0.9978822532825076
urokinase_type_plasminogen_activator,0.9852216748768472,0.9854368932038836,103,100,py35,0.9807692307692308,0.9999656429211532,0.9988551803091014
disintegrin_and_metalloproteinase_domain_containing_protein_17,0.9850746268656716,0.9954152772805708,233,236,py27,0.9748953974895398,0.9999472066803159,0.9986315429353404
bone_morphogenetic_protein_1,0.9848484848484848,0.9995344506517692,65,67,py35,0.9701492537313432,0.9999713508093396,0.9981924988703118
glutaminyl_peptide_cyclotransferase,0.9836065573770492,0.9838709677419356,31,30,py27,0.9666666666666666,0.9996623552023272,0.9984289080911232
2_acylglycerol_o_acyltransferase_2,0.9836065573770492,0.9838709677419356,31,30,py35,0.967741935483871,0.99984783931832,0.9984650805832692
15_hydroxyprostaglandin_dehydrogenase_nad_,0.983050847457627,0.9833333333333334,30,29,py27,0.9285714285714286,0.9993327773144288,0.9967453213995118
transitional_endoplasmic_reticulum_atpase,0.9824561403508772,0.9827586206896552,29,28,py27,0.9152542372881356,0.9996738518101224,0.9958053691275168
c5a_anaphylatoxin_chemotactic_receptor_1,0.9824561403508772,0.9827586206896552,29,28,py35,0.9152542372881356,0.9954932250126012,0.9958053691275168
glucagon,0.981132075471698,0.9993215739484396,26,27,py35,0.9803921568627452,0.999739066903246,0.9986893840104848
melatonin_receptor_type_1a,0.979757085020243,0.9915108092905206,123,124,py35,0.9547325102880659,0.9998520741731236,0.9974418604651164
matrix_metalloproteinase_14,0.979591836734694,0.9862836467298942,74,73,py27,0.9722222222222222,0.9998245710213256,0.9984245766049624
high_affinity_camp_specific_and_ibmx_insensitive_3_5_cyclic_phosphodiesterase_8b,0.9795918367346941,0.98,25,24,py27,0.96,0.9983038869257952,0.9977116704805492
diacylglycerol_o_acyltransferase_1,0.9765625,0.9806546044510279,130,126,py27,0.9575289575289576,0.9953867315627976,0.9975512021371328
cgmp_dependent_3_5_cyclic_phosphodiesterase,0.9748743718592964,0.980053761290728,101,98,py35,0.97,0.9966277787617192,0.9983179142136248
mu_type_opioid_receptor,0.9748110831234256,0.9870037092061716,397,397,py35,0.9747474747474748,0.9977009521098832,0.9984423676012462
endothelin_1_receptor,0.9738562091503268,0.9745222929936306,157,149,py35,0.9714285714285714,0.9993476024707498,0.9982642237222756
5_hydroxytryptamine_receptor_4,0.9726027397260274,0.9795263123171992,74,72,py27,0.9659863945578232,0.9942328414663648,0.9980252764612956
3_phosphoinositide_dependent_protein_kinase_1,0.9724770642201834,0.9815487852664576,55,54,py27,0.97196261682243,0.9652919278996864,0.998430141287284
sn1_specific_diacylglycerol_lipase_alpha,0.9714285714285714,0.9991423670668952,17,18,py27,0.9411764705882352,0.9995964080314802,0.9966666666666668
cholecystokinin_receptor_type_a,0.9705882352941176,0.9714285714285714,35,33,py35,0.9315068493150684,0.9966704817396732,0.9964488636363636
protein_kinase_c_theta_type,0.9696969696969696,0.999000499750125,64,68,py27,0.9384615384615383,0.9997891679160421,0.9961259079903148
leukotriene_a_4_hydrolase,0.968944099378882,0.9869495412844036,80,81,py27,0.9506172839506174,0.9984357798165138,0.9971479500891266
phosphatidylinositol_4_5_bisphosphate_3_kinase_catalytic_subunit_alpha_isoform,0.967032967032967,0.9779423982276378,276,270,py27,0.9584086799276672,0.9964487368842121,0.9976278877887788
aurora_kinase_b,0.9669421487603306,0.9791484844910956,122,120,py27,0.9554655870445344,0.9997307072374888,0.9974370922646784
c_c_chemokine_receptor_type_5,0.9663865546218487,0.9907487661008788,234,242,py35,0.96137339055794,0.9961673889490792,0.997943797121316
delta_type_opioid_receptor,0.9652042360060514,0.9827652053151532,330,331,py35,0.9596412556053812,0.9997882431932238,0.997520888807272
carnitine_o_palmitoyltransferase_1_liver_isoform,0.9651741293532338,0.9707260322706512,103,98,py27,0.9607843137254902,0.9908492850421172,0.9977057642672784
p2y_purinoceptor_1,0.9638554216867472,0.9871031236628156,41,42,py35,0.9523809523809524,0.9999144201968336,0.9972714870395636
focal_adhesion_kinase_1,0.962962962962963,0.9843874990598998,67,68,py27,0.9624060150375942,0.9996718195554524,0.9977777777777778
dual_specificity_protein_kinase_ttk,0.9629629629629628,0.9868127147766323,40,41,py27,0.9487179487179488,0.9992611683848796,0.9973244147157192
potassium_channel_subfamily_k_member_3,0.9615384615384616,0.962962962962963,27,25,py35,0.9454545454545454,0.9997964997964998,0.9960264900662252
smoothened_homolog,0.9610389610389608,0.9625,40,37,py35,0.9382716049382716,0.9671320921985816,0.9971131639722864
neprilysin,0.9606299212598424,0.9760986781076068,64,63,py27,0.953125,0.9994274698515768,0.9972972972972972
glycogen_phosphorylase_liver_form,0.9605263157894736,0.9923076145007282,74,78,py27,0.9523809523809524,0.9998533338727948,0.9974508375819372
wee1_like_protein_kinase,0.96,0.9990671641791044,12,13,py27,0.9565217391304348,0.9998445273631841,0.9981751824817521
melanocyte_stimulating_hormone_receptor,0.96,0.9990138067061144,12,13,py35,0.8181818181818182,0.997863247863248,0.9922928709055876
non_receptor_tyrosine_protein_kinase_tyk2,0.96,0.9793894993894994,25,25,py35,0.8846153846153846,0.9974114774114774,0.9928909952606636
glutamate_receptor_ionotropic_nmda_2b,0.96,0.9794110718492344,25,25,py27,0.9387755102040816,0.9995759717314489,0.9965675057208238
heat_shock_protein_hsp_90_alpha,0.9581993569131834,0.9711185067650804,158,153,py27,0.9225806451612903,0.9861745486989448,0.9953416149068324
neuropeptide_y_receptor_type_2,0.9565217391304348,0.9773882692161772,23,23,py35,0.9302325581395348,0.97590864253737,0.9949664429530202
glycylpeptide_n_tetradecanoyltransferase_1,0.9565217391304348,0.9990421455938696,11,12,py27,0.9090909090909092,0.9996516893068615,0.9962476547842402
glutamate_receptor_1,0.9565217391304348,0.9583333333333331,12,11,py35,0.9166666666666666,0.9981583793738492,0.9963963963963964
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_4,0.9565217391304348,0.9583333333333331,36,33,py27,0.927536231884058,0.997801572522243,0.9954954954954957
squalene_synthase,0.9565217391304348,0.9709668909114892,35,34,py27,0.9411764705882354,0.997546497823506,0.9964221824686942
arachidonate_15_lipoxygenase,0.955223880597015,0.983945142481728,33,34,py27,0.927536231884058,0.9982754372998276,0.9956140350877192
thymidylate_synthase,0.9545454545454548,0.9696616866908752,67,65,py27,0.9384615384615386,0.9936325199938872,0.9962228517469308
alkaline_phosphatase_tissue_nonspecific_isozyme,0.954248366013072,0.9657653118351808,78,75,py35,0.9316770186335404,0.9963609898107716,0.9794776119402984
steroid_17_alpha_hydroxylase_17_20_lyase,0.9528795811518324,0.9594337799008574,99,92,py27,0.9353233830845772,0.9959799093759524,0.9959145191703332
serine_threonine_protein_kinase_pak_1,0.9523809523809524,0.9545454545454546,11,10,py35,0.88,0.9998258446534308,0.9943714821763602
heparanase,0.9523809523809524,0.9545454545454546,22,20,py35,0.9333333333333332,0.9936960849369608,0.9947368421052633
furin,0.9523809523809524,0.9989270386266094,10,11,py27,0.9473684210526316,1.0,0.9978991596638656
peroxisome_proliferator_activated_receptor_alpha,0.949640287769784,0.952054794520548,73,66,py35,0.9324324324324323,0.9954739244413552,0.9961180124223602
thyroid_hormone_receptor_beta,0.9487179487179488,0.9512195121951221,41,37,py35,0.9382716049382716,0.9989149094678196,0.9967679379444084
plasminogen_activator_inhibitor_1,0.9473684210526316,0.95,10,9,py27,0.7777777777777777,0.8349301397205589,0.9921722113502937
lethal_3_malignant_brain_tumor_like_protein_3,0.9473684210526316,0.95,10,9,py27,0.9,0.999562363238512,0.9957173447537472
c_c_chemokine_receptor_type_8,0.9473684210526316,0.9985250737463126,9,10,py27,0.8750000000000001,0.9983611930514584,0.9942528735632185
glucokinase_regulatory_protein,0.9473684210526316,0.95,10,9,py27,0.9090909090909092,1.0,0.9957805907172996
macrophage_metalloelastase,0.9473684210526316,0.9555107425909928,79,73,py27,0.9433962264150944,0.9993473688164368,0.9967567567567568
phosphatidylinositol_4_5_bisphosphate_3_kinase_catalytic_subunit_beta_isoform,0.9473684210526316,0.9776981137563444,94,96,py27,0.9392265193370166,0.9980766713689444,0.9963576158940396
angiopoietin_1_receptor,0.9454545454545454,0.9482758620689656,29,26,py35,0.9090909090909092,0.9942775817594212,0.9958053691275168
tyrosine_protein_kinase_abl1,0.9453125,0.9481481481481482,135,121,py35,0.9411764705882352,0.9994093593820992,0.9964734405995151
glycogen_phosphorylase_muscle_form,0.9411764705882352,0.9697079536039768,17,17,py27,0.9090909090909092,0.99513256006628,0.9948717948717948
aldehyde_dehydrogenase_mitochondrial,0.9411764705882352,0.9444444444444444,18,16,py27,0.9189189189189192,0.9891122278056952,0.9951219512195122
serine_threonine_protein_kinase_pak_4,0.9411764705882352,0.9444444444444444,9,8,py35,0.8888888888888888,0.9965473948524796,0.9944903581267218
serine_threonine_protein_kinase_d1,0.9411764705882352,0.9444444444444444,9,8,py35,0.8888888888888888,0.9988833054159688,0.995085995085995
lim_domain_kinase_2,0.9387755102040816,0.977770018621974,24,25,py27,0.8936170212765957,0.9980214152700186,0.9932432432432432
ribosomal_protein_s6_kinase_alpha_3,0.9387755102040816,0.9777854511970536,24,25,py35,0.92,0.9961153314917128,0.9946524064171124
adenosylhomocysteinase,0.9387755102040816,0.9423076923076924,26,23,py35,0.9166666666666666,0.9400897609852834,0.9947575360419396
lanosterol_synthase,0.9387755102040816,0.9423076923076924,26,23,py35,0.8888888888888891,0.9969191015702644,0.9925
fibroblast_growth_factor_receptor_1,0.9384615384615386,0.9420289855072465,69,61,py27,0.9343065693430658,0.9886279035139964,0.9962577962577964
opioid_growth_factor_receptor_like_protein_1,0.9375,0.9678474729241876,16,16,py35,0.9333333333333332,0.9979693140794222,0.9964912280701754
chymase,0.9370629370629372,0.9583029071842316,73,70,py27,0.9361702127659576,0.9984132648859362,0.9964953271028038
caspase_8,0.9361702127659574,0.9577352472089312,24,23,py27,0.9056603773584906,1.0,0.9941860465116279
branched_chain_amino_acid_aminotransferase_mitochondrial,0.9333333333333332,0.9375,8,7,py27,0.8571428571428571,0.9532657657657656,0.9941348973607038
methionine_trna_ligase_cytoplasmic,0.9333333333333332,0.9375,8,7,py27,0.8571428571428571,0.99875,0.9903846153846154
phosphoethanolamine_phosphocholine_phosphatase,0.9333333333333332,0.9375,8,7,py27,0.875,0.9953125,0.9903846153846154
serine_threonine_protein_kinase_plk2,0.9333333333333332,0.9375,8,7,py27,0.875,0.9360294117647058,0.9887640449438202
inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_epsilon,0.9333333333333332,0.9984662576687116,7,8,py27,0.8750000000000001,1.0,0.993993993993994
protein_kinase_c_alpha_type,0.9285714285714286,0.9633260213874416,42,42,py27,0.9268292682926828,0.99896414099869,0.9962616822429906
cyclin_dependent_kinase_8,0.9268292682926828,0.9975409836065572,19,22,py27,0.8500000000000001,0.9991371872303708,0.9904610492845788
glutamate_receptor_ionotropic_nmda_1,0.923076923076923,0.9285714285714286,7,6,py27,0.8571428571428571,0.9992997198879552,0.9951807228915662
metabotropic_glutamate_receptor_4,0.923076923076923,0.9285714285714286,7,6,py35,0.8571428571428571,0.99910434393193,0.9938650306748468
calcium_activated_potassium_channel_subunit_alpha_1,0.923076923076923,0.9285714285714286,7,6,py35,0.75,0.9802955665024632,0.9877300613496932
mitogen_activated_protein_kinase_13,0.923076923076923,0.9285714285714286,7,6,py27,0.8571428571428571,0.9938186813186812,0.9906976744186048
