model_name,f1,roc_auc,accuracy
carnitine_o_palmitoyltransferase_1_muscle_isoform,0.9411764705882352,0.9996870109546164,0.9972527472527472
carnitine_o_palmitoyltransferase_2_mitochondrial,1.0,1.0,1.0
casein_kinase_ii_subunit_alpha,0.984126984126984,1.0,0.999236641221374
casein_kinase_i_isoform_delta,0.5,0.9566037735849056,0.9639639639639641
caspase_1,0.9659863945578232,0.999914023304742,0.998179169701384
caspase_2,0.923076923076923,0.9984639016897082,0.9948186528497408
caspase_3,0.968944099378882,0.9996425686446918,0.9981283922889762
caspase_6,0.9523809523809524,0.9967017109874252,0.9977876106194692
caspase_7,1.0,1.0,1.0
caspase_8,0.9056603773584906,1.0,0.994186046511628
caspase_9,0.6666666666666666,0.9282700421940928,0.975609756097561
catechol_o_methyltransferase,0.8421052631578948,0.9991150442477876,0.991404011461318
cathepsin_b,0.9405940594059404,0.9995924855491328,0.996629213483146
cathepsin_d,0.9716981132075472,0.9996350031937221,0.9984034060670568
cathepsin_e,0.7692307692307692,0.9952229299363058,0.990625
cathepsin_f,0.9411764705882352,1.0,0.99438202247191
cathepsin_g,0.7000000000000001,0.9382440476190476,0.9869565217391304
cathepsin_k,0.9503311258278144,0.9975436100379828,0.99709386806161
cathepsin_l1,0.9211356466876972,0.9947532996122216,0.9956468744558592
cathepsin_l2,1.0,1.0,1.0
cathepsin_s,0.9505813953488372,0.9978671008079708,0.9970567867036012
cell_division_cycle_7_related_protein_kinase,0.9866666666666666,0.9998985852644388,0.99909338168631
ceramide_glucosyltransferase,0.96,0.99990231990232,0.9976303317535544
cgmp_dependent_3_5_cyclic_phosphodiesterase,0.97,0.9966277787617192,0.9983179142136248
cholecystokinin_receptor_type_a,0.9315068493150684,0.9966704817396732,0.9964488636363636
cholesteryl_ester_transfer_protein,0.9527559055118108,0.9957443812110006,0.9973063973063973
cholinesterase,0.8848484848484848,0.9883804061435641,0.9936613844870724
chymase,0.9361702127659576,0.9984132648859362,0.9964953271028038
chymotrypsinogen_b,0.5714285714285715,0.988599348534202,0.990353697749196
chymotrypsin_c,0.6666666666666665,0.9947368421052633,0.9896193771626296
coagulation_factor_ix,0.9714285714285714,1.0,0.9987937273823884
coagulation_factor_vii,0.9904761904761904,1.0,0.9994706193753308
coagulation_factor_xiii_a_chain,1.0,1.0,1.0
coagulation_factor_xi,0.984375,0.9999565368567456,0.9990995047276002
coagulation_factor_x,0.9798994974874372,0.9995875796699658,0.9988837728477744
cocaine_esterase,0.8947368421052632,0.9959349593495934,0.9940652818991098
collagenase_3,0.983050847457627,0.9996414233897948,0.9991326973113616
complement_c1r_subcomponent,1.0,1.0,1.0
complement_c1s_subcomponent,0.923076923076923,1.0,0.9963963963963964
complement_factor_d,0.992063492063492,0.9999981429897864,0.9995488382585156
corticosteroid_11_beta_dehydrogenase_isozyme_1,0.93801652892562,0.996094828134542,0.9967437316834908
corticosteroid_11_beta_dehydrogenase_isozyme_2,0.75,0.9870689655172412,0.9887640449438202
corticosteroid_binding_globulin,0.8888888888888891,1.0,0.9925373134328358
corticotropin_releasing_factor_receptor_1,0.9809725158562368,0.9999459984313332,0.9989180091368116
creb_binding_protein,0.9333333333333332,0.999552171965965,0.9969325153374232
cx3c_chemokine_receptor_1,0.8888888888888891,1.0,0.9956521739130436
cyclin_dependent_kinase_1,0.912280701754386,0.9923120876837568,0.9960722702278084
cyclin_dependent_kinase_2,0.95,0.9909334754092338,0.997178130511464
cyclin_dependent_kinase_4,0.98,0.999481631733153,0.9988833054159688
cyclin_dependent_kinase_6,0.9736842105263158,0.9970164144266246,0.9986072423398328
cyclin_dependent_kinase_7,0.5,0.9811827956989247,0.9587628865979382
cyclin_dependent_kinase_8,0.8500000000000001,0.9991371872303709,0.9904610492845788
cyclin_dependent_kinase_9,0.9508196721311476,0.9891575840145324,0.997352162400706
cyclin_dependent_like_kinase_5,1.0,1.0,1.0
cyclin_g_associated_kinase,0.7499999999999999,0.9945799457994581,0.984126984126984
cyclin_t1,1.0,1.0,1.0
cysteinyl_leukotriene_receptor_1,0.9743589743589745,1.0,0.9984825493171472
cysteinyl_leukotriene_receptor_2,1.0,1.0,1.0
cystine_glutamate_transporter,1.0,1.0,1.0
cytidine_deaminase,1.0,1.0,1.0
cytochrome_p450_11b1_mitochondrial,0.9805825242718448,0.9995330186568834,0.9988811188811187
cytochrome_p450_11b2_mitochondrial,0.9655172413793104,0.9998983380101932,0.9978975535168196
cytochrome_p450_1a1,0.75,0.9865591397849462,0.9793814432989691
cytochrome_p450_1b1,1.0,1.0,1.0
cytochrome_p450_26a1,0.972972972972973,1.0,0.9985486211901308
cytochrome_p450_2a6,0.7272727272727273,0.9944690265486724,0.9869565217391304
cytochrome_p450_2c19,0.6666666666666666,0.5929824561403508,0.9930795847750864
cytochrome_p450_2c9,0.3333333333333333,0.8679245283018867,0.9754601226993864
cytochrome_p450_2d6,0.5,0.9796416938110749,0.9871382636655948
cytochrome_p450_3a4,0.75,0.9050925925925926,0.9898218829516541
cytosolic_phospholipase_a2_beta,1.0,1.0,1.0
cytosolic_phospholipase_a2,0.9642857142857144,0.9968353485594864,0.9983108108108107
cytosol_aminopeptidase,0.8888888888888891,1.0,0.9957805907172996
c_c_chemokine_receptor_like_2,0.972972972972973,1.0,0.9985486211901308
c_c_chemokine_receptor_type_1,0.9508196721311476,0.9922958063770796,0.9973070017953322
c_c_chemokine_receptor_type_2,0.975609756097561,0.9995790338927594,0.9986960065199674
c_c_chemokine_receptor_type_3,0.9792531120331949,0.9999287214163248,0.9988664701881659
